einsum_expression,dimensions,max_element_torch,max_element_jit,max_difference,biggest_relative_error
"efbad,cf->abcde","48,36,24,36,48,36",15.6875,15.6875,0,0
"efcad,bf->abcde","48,24,36,36,48,36",15.875,15.875,0,0
"dbea,ec->abcd","96,84,24,96,96",35.25,35.5,1.375,0.0558376
"ecbfa,fd->abcde","48,36,36,24,48,48",19.125,19,0.5,0.0444444
"deca,be->abcd","96,24,84,96,84",30.5,30.5,0,0
"ghjkef,jki->efghi","6,64,6,64,24,6,64",114,111.5,13.5,0.147727
"ebad,ce->abcd","96,84,24,84,96",36.25,36.25,0,0
"dega,gfbc->abcdef","24,20,20,24,20,20,24",12,12,0.25,0.0320513
"dfgb,geac->abcdef","24,20,20,24,20,20,24",12.4375,12.3125,0.25,0.0324675
"degb,gfac->abcdef","24,20,20,24,20,20,24",12.75,12.8125,0.25,0.0292398
"degc,gfab->abcdef","24,20,20,24,20,20,24",12.75,12.6875,0.25,0.0306748
"jkhief,gjk->efghi","6,64,24,4,94,6,64",114.5,114.5,0,0
"ea,ebcd->abcd","96,84,84,84,96",36.5,36.25,1.375,0.0558376
"eb,aecd->abcd","96,84,84,84,96",36.25,36.5,1.5,0.0588235
"ec,abed->abcd","96,84,84,84,96",36,36.25,1.5,0.0613497
"adec,ebd->abc","96,84,84,84,96",2096,2144,96,0.0465116
"ijefkl,klijgh->efgh","6,64,4,94,6,64,6,64",32640,256,32384,0.992157
"efijkl,klghij->efgh","6,64,4,94,4,94,6,64",32000,32768,1664,0.0507812
"efijkl,klgh->efghij","6,64,4,94,4,94,6,64",119,116,14.5,0.149485
"efklij,ghkl->efghij","6,64,6,64,4,94,4,94",116,116,0,0
